857 6309 -1 (0, 0) (0, 0) 0 0
857 7356 -1 (0, 0) (0, 0) 0 0
857 8576 -1 (0, 0) (0, 0) 0 0
857 10000 -1 (0, 0) (0, 0) 0 0
1000 100 -1 (0, -1) (0, -1) 0 0
1000 116 -1 (0, -1) (0, -1) 0 0
1000 135 -1 (0, -1) (0, -1) 0 0
1000 158 -1 (0, -1) (0, -1) 0 0
1000 184 -1 (0, -1) (0, -1) 0 0
1000 215 -1 (0, -1) (0, -1) 0 0
1000 251 -1 (0, -1) (0, -1) 0 0
1000 292 -1 (0, -1) (0, -1) 0 0
1000 341 -1 (0, -1) (0, -1) 0 0
1000 398 -1 (0, -1) (0, -1) 0 0
1000 464 -1 (0, -1) (0, -1) 0 0
1000 541 -1 (0, -1) (0, -1) 0 0
1000 630 -1 (0, -1) (0, -1) 0 0
1000 735 -1 (0, -1) (0, -1) 0 0
1000 857 -1 (0, -1) (0, -1) 0 0
1000 1000 -1 (0, -1) (0, -1) 0 0
1000 1165 -1 (0, 0) (0, 0) 0 0
1000 1359 -1 (0, 0) (0, 0) 0 0
1000 1584 -1 (0, 0) (0, 0) 0 0
1000 1847 -1 (0, 0) (0, 0) 0 0
1000 2154 -1 (0, 0) (0, 0) 0 0
1000 2511 -1 (0, 0) (0, 0) 0 0
1000 2928 -1 (0, 0) (0, 0) 0 0
1000 3414 -1 (0, 0) (0, 0) 0 0
1000 3981 -1 (0, 0) (0, 0) 0 0
1000 4641 -1 (0, 0) (0, 0) 0 0
1000 5411 -1 (0, 0) (0, 0) 0 0
1000 6309 -1 (0, 0) (0, 0) 0 0
1000 7356 -1 (0, 0) (0, 0) 0 0
1000 8576 -1 (0, 0) (0, 0) 0 0
1000 10000 -1 (0, 0) (0, 0) 0 0
1165 100 1 (0, 0) (1, 0) 0 0
1165 116 -1 (0, -1) (0, -1) 0 0
1165 135 -1 (0, -1) (0, -1) 0 0
1165 158 -1 (0, -1) (0, -1) 0 0
1165 184 -1 (0, -1) (0, -1) 0 0
1165 215 -1 (0, -1) (0, -1) 0 0
1165 251 -1 (0, -1) (0, -1) 0 0
1165 292 -1 (0, -1) (0, -1) 0 0
1165 341 -1 (0, -1) (0, -1) 0 0
1165 398 -1 (0, -1) (0, -1) 0 0
1165 464 -1 (0, -1) (0, -1) 0 0
1165 541 -1 (0, -1) (0, -1) 0 0
1165 630 -1 (0, -1) (0, -1) 0 0
1165 735 -1 (0, -1) (0, -1) 0 0
1165 857 -1 (0, -1) (0, -1) 0 0
1165 1000 -1 (0, -1) (0, -1) 0 0
1165 1165 -1 (0, -1) (0, -1) 0 0
1165 1359 -1 (0, 0) (0, 0) 0 0
1165 1584 -1 (0, 0) (0, 0) 0 0
1165 1847 -1 (0, 0) (0, 0) 0 0
1165 2154 -1 (0, 0) (0, 0) 0 0
1165 2511 -1 (0, 0) (0, 0) 0 0
1165 2928 -1 (0, 0) (0, 0) 0 0
1165 3414 -1 (0, 0) (0, 0) 0 0
1165 3981 -1 (0, 0) (0, 0) 0 0
1165 4641 -1 (0, 0) (0, 0) 0 0
1165 5411 -1 (0, 0) (0, 0) 0 0
1165 6309 -1 (0, 0) (0, 0) 0 0
1165 7356 -1 (0, 0) (0, 0) 0 0
1165 8576 -1 (0, 0) (0, 0) 0 0
1165 10000 -1 (0, 0) (0, 0) 0 0
1359 100 1 (0, 0) (1, 0) 0 0
1359 116 1 (0, 0) (1, 0) 0 0
1359 135 -1 (0, -1) (0, -1) 0 0
1359 158 -1 (0, -1) (0, -1) 0 0
1359 184 -1 (0, -1) (0, -1) 0 0
1359 215 -1 (0, -1) (0, -1) 0 0
1359 251 -1 (0, -1) (0, -1) 0 0
1359 292 -1 (0, -1) (0, -1) 0 0
1359 341 -1 (0, -1) (0, -1) 0 0
1359 398 -1 (0, -1) (0, -1) 0 0
1359 464 -1 (0, -1) (0, -1) 0 0
1359 541 -1 (0, -1) (0, -1) 0 0
1359 630 -1 (0, -1) (0, -1) 0 0
1359 735 -1 (0, -1) (0, -1) 0 0
1359 857 -1 (0, -1) (0, -1) 0 0
1359 1000 -1 (0, -1) (0, -1) 0 0
1359 1165 -1 (0, -1) (0, -1) 0 0
1359 1359 -1 (0, -1) (0, -1) 0 0
1359 1584 -1 (0, 0) (0, 0) 0 0
1359 1847 -1 (0, 0) (0, 0) 0 0
1359 2154 -1 (0, 0) (0, 0) 0 0
1359 2511 -1 (0, 0) (0, 0) 0 0
1359 2928 -1 (0, 0) (0, 0) 0 0
1359 3414 -1 (0, 0) (0, 0) 0 0
1359 3981 -1 (0, 0) (0, 0) 0 0
1359 4641 -1 (0, 0) (0, 0) 0 0
1359 5411 -1 (0, 0) (0, 0) 0 0
1359 6309 -1 (0, 0) (0, 0) 0 0
1359 7356 -1 (0, 0) (0, 0) 0 0
1359 8576 -1 (0, 0) (0, 0) 0 0
1359 10000 -1 (0, 0) (0, 0) 0 0
1584 100 1 (0, 0) (1, 0) 0 0
1584 116 1 (0, 0) (1, 0) 0 0
1584 135 1 (0, 0) (1, 0) 0 0
1584 158 -1 (0, -1) (0, -1) 0 0
1584 184 -1 (0, -1) (0, -1) 0 0
1584 215 -1 (0, -1) (0, -1) 0 0
1584 251 -1 (0, -1) (0, -1) 0 0
1584 292 -1 (0, -1) (0, -1) 0 0
1584 341 -1 (0, -1) (0, -1) 0 0
1584 398 -1 (0, -1) (0, -1) 0 0
1584 464 -1 (0, -1) (0, -1) 0 0
1584 541 -1 (0, -1) (0, -1) 0 0
1584 630 -1 (0, -1) (0, -1) 0 0
